korean,english
내가,I
그,that
난,I am
내,my
안,not
수,number
이,this
네,yes
거야,going to be
좀,a little
그래,okay
있어,there is
왜,why
더,more
그리고,and
우리,we
다,all
무슨,what
한,one
하지만,but
잘,well
어떻게,how
할,will do
그냥,just
정말,really
그럼,then
것,thing
게,crab
있어요,there is
있는,there is
해,sun
여기,here
넌,you
제가,I am
날,me
우리가,we
건,case
전,jeon
이제,now
지금,now
그게,that is
걸,girl
거,thing
아니,no
네가,you
없어,doesn't exist
돼,ok
저,I
우린,we
제,my
못,pond
좋아,good
당신이,you
다른,different
나,me
그런,that
그건,that
너무,too
그래서,so
그렇게,like that
다시,again
이건,This
이런,this
나도,me too
모든,every
당신,you
거예요,Will
당신은,you are
아,ah
좋은,good
오,oh
때,at the time
너,you
하는,doing
하고,do
아냐,no
나는,I am
아니야,no
알아,know
같이,together
응,huh
이게,this
없어요,no
괜찮아,are you okay
오늘,today
말이야,I mean
줄,line
또,also
널,you
누가,who
어떤,which
아주,very
말,word
아직,yet
안돼,no
진짜,really
모두,every
마,mind
같은,same
여기서,here
어서,hurry
그는,he is
위해,for
해요,do
일이,Days
하지,summer solstice
엄마,mom
바로,as soon as
가,go
근데,however
알고,know
이렇게,like this
빨리,hurry
있습니다,there is
이거,this
전에,before
어,uh
아뇨,no
계속,continue
닥터,doctor
얼마나,how much
될,be
알았어,okay
않아,No
제발,please
있지,Yes
겁니다,I will
어디,where
사람이,People
그가,he
안녕,hi
좋아요,great
같아,same
우리는,we are
그래요,is it so
당신을,you
자,Now
그걸,that
아니에요,no
있을,There will be
때문에,because
대해,about
아빠,dad
몇,some
사람,person
했어,I did it
뭐야,what
수도,capital
많이,many
집에,at home
거지,the poor
일을,work
저는,I am
음,hmm
그렇지,yes
함께,together
만약,if
하나,one
저기,excuse me
고마워요,thank you
항상,always
나한테,To me
잠깐,for a moment
가서,Go
가장,most
돼요,can
거죠,That's it
가자,let's go
맞아,that's right
보고,report
와,and
그거,that
말을,say
괜찮아요,are you okay
아무도,no one
없는,Do not have
안녕하세요,hello
몰라,I don't know
일,Day
많은,many
당신의,your
아무것도,nothing
그러니까,therefore
큰,big
알아요,i know
그의,His
뭐가,what
고마워,thank you
그만,stop
했어요,i did it
젠장,shit
사람들이,People
거에요,It will be
이걸,This
그럴,That's right
것도,also
말이,words
이미,already
야,hey
그를,Him
뭔가,Something
온,on
이봐,hey
아니면,or not
같아요,same
그런데,however
아니라,not
세상에,oh my god
있다고,There is
있고,There is
뭐라고,what
예,yes
절대,never
말야,I mean
당장,right now
그래도,still
대한,About
말은,I mean
거기,there
전부,entire
둘,two
그녀는,she is
니가,you
갈,conflict
않아요,No
자기,self
있죠,Yes
하면,if
가지고,have
그들이,they
참,really
너도,you also
됐어,it's okay
미안해,Sorry
것을,Thing
여긴,This is
아무,any
사람은,people
감사합니다,thank you
다들,everyone
어때,how
씨,Seed
곧,soon
엄마가,Mom
나를,me
이젠,now
아마,maybe
그들은,they
얘기,talk
꼭,please
있잖아,Hey
저도,me too
지금은,now
그녀가,she
중,middle
있다,there is
시간,hour
먼저,first
우릴,us
말고,not
사람을,People
수가,medical charge
봐요,see
있는데,there is
알았어요,all right
해야,Sun
있었어,there was
우리의,Our
않을,won't
방금,just now
완전,very
된,done
동안,during
시간이,This time
싶어,want
본,copy
일은,work
친구,friend
들어,listen
안에,in
번,th
자네,you
합니다,do
사실,actually
한번,once
대체,how
같은데,Looks like
생각해,think
맞아요,that's right
볼,cheek
혼자,alone
자네가,You
절,I
그러니,so
선생님,teacher
사람들은,People
문제가,The problem
다음,next
물론,of course
거의,almost
일이야,It's work
없습니다,doesn't exist
아빠가,Dad
되는,felled
그러면,then
순,net
가는,going
말도,nonsense
이리,Wolf
있었어요,There was
맙소사,oh my god
내일,tomorrow
있으면,if there is
잠깐만,wait for a sec
싫어,no
중요한,important
내게,to me
말해,say
이상,more
거라고,I guess
아는,know
너는,you
새,bird
적,enemy
전혀,at all
여자,female
새로운,new
너희,you guys
왔어,I'm here
아직도,still
가지,egg plant
나와,come out
알,egg
싶지,I don't want to
여기에,Here
원하는,want
돈,money
필요,necessary
도움이,help
그녀를,Her
몰라요,I don't know
작은,small
혹시,if
미안해요,sorry
나쁜,bad
죄송해요,sorry
모르겠어,I don't know
가요,song
알지,know
밖에,outside
직접,directly
있나,Is there
니,you
해도,chart
하죠,Let's do it
했는데,I did it
필요해,I need
아니요,no
적이,enemy
있나요,do you have
갖고,Have
돈을,money
주세요,please
어디서,where
것이,It is
거요,Yes
위한,for
것은,The thing is
없이,without
나중에,later
아버지,father
나랑,with me
됐어요,That's Okay
마세요,do not
차,car
언제,when
그저,just
생각,thought
했지,I did it
봤어,saw
해서,So
시간을,Time
마지막,last
알겠어,okay
왜냐면,because
위해서,for
엄청,very
알겠습니다,All right
오래,long time
기다려,wait
아닙니다,no
있는지,Is there
알겠어요,all right
제일,most
그렇죠,Yes
죽은,dead
제대로,properly
아니지,No
있다면,if there is
보면,If you look
우리를,Us
짓을,do
남자,man
너가,you are
있다는,There is
누구,who
보여,see
왔어요,came
너한테,to you
여러분,everyone
완전히,completely
너의,your
것이다,will be
밤,night
소리,sound
없지,No
벌써,already
모르겠어요,I don't know
말이지,That's right
올,all
사람들을,people
처음,first
말이죠,I mean
사람들,people
그녀의,her
멋진,wonderful
왜요,why
정말로,really
이름은,name is
와서,come
대해서,about
여보,honey
조금,little
않았어,I didn't
말이에요,I mean
이름이,The name
여보세요,hello
서로,each other
안돼요,No
죽을,dying
첫,first
매우,very
사랑해,love you
오늘은,today
싶은,want to
어디로,Where
단지,only
아닌,not
나가,get out
뿐이야,only
미안,sorry
확실히,surely
싶어요,want
죄송합니다,sorry
때까지,until
없고,There is no
어때요,how is it
살,fat
당연히,of course
데리고,along
필요한,necessary
없다,does not exist
후,after
가고,go
글쎄,well
않는,not
했죠,I did it
나의,my
별로,not really
않은,not
라고,Called
집,house
여전히,still
없을,There won't be
딱,Just
있어서,Because
이야기,story
엄마는,Mom is
부인,ma'am
하는데,to do
않고,Without
알았지,Okay
아니고,No
여자가,the woman
문,door
되지,No
거기서,at there
훨씬,more
아버지가,Father
망할,damn
뭔지,What is it
손,hand
수술,surgery
듣고,listen
어쩌면,perhaps
보세요,look
생각이,thought
어느,any
그러지,That's right
되면,If it happens
아마도,maybe
준비,preparation
전화,phone call
뒤에,behind
도대체,why
너를,you
당신도,You
것처럼,As if
않으면,If not
말하는,talking
최고의,Great
말하지,tell me
세,count
모르는,do not know
유일한,only
갑자기,suddenly
이봐요,Hey
건가요,Are you sure
없다고,There is no
것입니다,will
있잖아요,"You know,"
되고,become
어쨌든,anyway
가진,have
이번,this time
뭐하는,What are you doing
후에,later
친구가,friend
지,ji
신경,nerve
그만해,stop
누구야,who is this
당신에게,to you
늘,always
없었어,There wasn't
그들을,them
있게,have
알잖아,You know
누군가,someone
생각을,think
존,zone
일단,first
가야,Gaya
걱정,worry
보자,see
매일,everyday
수는,The number is
아침,morning
말할,say
말아요,Roll it up
모두가,Everyone is
않았어요,I didn't
얘기를,talk
봤어요,saw
대신,instead
마치,like
건데,It's going to be
자넨,you
했잖아,You did it
둘이,two people
당신과,with you
집으로,to home
한다,do
두고,Leave it
이름을,name
있네,There is
그들의,their
뭔데,What
금방,soon
사는,living
좋아하는,Favorite
찾을,find
맘에,I like it
결국,at last
이유가,the reason is
필요해요,I need
중에,During
그때,at that time
보는,see
너랑,with you
아이를,child
없잖아,There isn't any
한다고,I do it
기분,mood
하게,to do
놈이,This guy
못해,can not
우리에게,To us
가면,mask
저를,me
잡아,catch
집에서,at home
우리도,We too
기분이,Feel
저희,we
찾고,looking for
거다,It's going to happen
어제,yesterday
남자가,the man
뭐지,what
앞으로,from now on
잠깐만요,Wait
자신의,Own
애가,keen
이상한,weird
막,membrane
먹고,eat
아이,kid
언제나,always
여기가,here
아들,son
알게,Know
하세요,do
총,gun
스스로,self
방법이,There is a way
있던,there was
해봐,try
아님,no
때가,It's time
아니죠,Nope
했던,did
조용히,quietly
밤에,At night
미친,crazy
텐데,It would be
머리,head
않습니다,not
잘못,wrong
고맙습니다,Thank you
있어야,Must be
왜냐하면,because
앉아,sit down
아침에,In the morning
죽일,kill
환자,patient
양,sheep
없죠,There is no
일어나,wake up
믿을,trustworthy
같네요,Looks like
건가,Is it dry?
게다가,furthermore
알렉스,Alex
타고,Riding
데,place
들었어,I heard
눈을,Eyes
나에게,to me
없었어요,There wasn't
만나서,meet
진정해,calm down
이것,this
더이상,Anymore
보지,pussy
방법을,How to
원래,usually
좋지,It's good
하려고,going to do
빌어먹을,Damn it
총을,gun
길을,Path
누군지,who is
아니라고,no
자신을,yourself
여길,This way
있지만,Although there is
얼른,hurry
얘들아,Guys
대로,Road
만든,made
놈,bloke
조심해,be careful
일에,at work
따라,according to
술,alcohol
정확히,exactly
자기가,Baby
충분히,enough
힘을,strength
아저씨,mister
알겠지,got it
있었는데,There was
사랑하는,Loving
기다리고,waiting
될거야,It will be
살아,live
평생,forever
아까,a moment ago
얘야,Hey
눈,eye
거기에,There
애,baby
분명,For sure
말하고,speaking
역시,also
저희가,we
찾아,find
걔가,He
이럴,Oh no
저기요,hey
너와,with you
될까요,Will it happen?
천천히,slowly
문제,problem
좋았어,It was good
어디에,where
문을,open the door
맞지,Right
어딨어,Where are you?
조지,George
아녜요,No
저녁,dinner
됩니다,It's possible
마요,Mayo
생각엔,I think
만들어,make
적어도,At least
애들,kids
개,dog
잘했어,good job
그러나,But
주,main
괜찮은,decent
생각은,Thought
위에,above
가끔,sometimes
있었던,there was
간,liver
잠시,for a moment
알아서,By-self
곳에,where
집을,house
그렇지만,but
그레이,gray
그럼요,sure
삶을,life
마음에,in the heart
살고,live
들고,carrying
분,minute
그랬어,I did
차를,tea
옆에,Next
아이가,The child
이번엔,this time
저게,That's it
아빠는,Dad is
괜찮을,It'll be okay
하자,let's do it
알았는데,I thought
생각해요,Think about it
없는데,I don't have it
생각하는,thinking
아니잖아,Nope
마지막으로,finally
여자를,woman
죽었어,dead
멍청한,stupid
훌륭한,excellent
있었지,There was
정도,degree
베일리,bailey
준비가,ready
남은,left
있으니까,Because there is
싫어요,"no, I do not want"
입니다,no see
영원히,forever
엄청난,exorbitant
정신,mental
는,Is
계세요,anybody home
하는지,Do you do it?
좋을,good
있었죠,There was
간다,Goes
기회를,opportunity
그대로,as it is
하나도,Not even one
멈춰,stop
필요가,need
도와줘,Help me
다음에,next time
앞에서,in front
뭐든,whatever
물,water
밖으로,outside
오는,coming
그렇다면,then
미국,USA
말라고,Don't tell me
하지마,don't
서,west
말한,said
테니까,Because
앞에,Before
를,cast
처럼,like
저한테,to me
거고,That's it
받아,receive
그것도,That too
요즘,recently
믿어,believe
뒤로,backwards
놈들이,They
입고,store
보니,Bonnie
속에,inside
잠시만요,wait a minute
소리야,It's a sound
들어봐,listen
자기야,babe
헤이,hey
에,to
이해가,Understanding
옷,clothes
들어가,Go in
아버지는,My father
않을거야,won't
있소,There is
자네는,you
모르겠지만,"I don't know, but"
누구도,no one
입,mouth
어머니,mother
특별한,special
좋겠어,I wish
준,June
그것은,that
관한,about
할게,I'll do it
여기는,here is
언니,sister
환자가,the patient
갈게,I'll go
나야,it's me
제게,To me
하루,day
단,step
필,Phil
가세요,go
끔찍한,Horrible
걸로,Girl
사랑,love
일도,work
아름다운,beautiful
년,year
형,brother
뭐요,what
저런,Like that
별,star
아니다,no
받고,under
할거야,I will do it
쓸,write
씨발,fuck
돈이,money
그에게,to him
뭔가를,something
마음을,heart
문제는,the problem is
의,of
서둘러,Hurry
못할,can't
없네,There is none
끝났어,it's over
있을거야,There will be
머리를,head
생각하지,don't think
뭐라고요,I beg your pardon
힘든,tiring
보게,see
가게,store
말해봐,say it
밥,rice
상황이,situation
줘요,Give
만큼,as much as
했지만,I did it but
같은데요,I think so
이름,name
엄마를,Mom
전화를,phone
어쩔,What to do
있니,Are you there?
번째,th
할까,Should I do it?
얘길,story
찾는,looking for
선생님이,Teacher
진짜로,really
일이에요,It's work
건지,Guernsey
가족을,family
할지,Do you do it?
중이야,I'm in the middle of it
믿지,believe it
닥쳐,shut up
여기로,here
저건,That is
주고,give
멀리,far
어이,hey
거짓말,lie
약,approximately
잭,jack
사실은,in fact
받을,receive
그러고,And then
겁니까,Are you afraid?
먹을,eat
그치만,But
너에게,to you
들었어요,I heard
하기,do
오빠,brother
오고,Coming
있을까,Is it
어린,young
통해,through
아닌데,It's not
조금만,a little bit
맞는,right
차에,in the car
여자는,The woman
보러,to see
손에,in hand
모르지,I don't know
가까이,closely
테니,Teni
되죠,It works
점점,getting more and more
잔,glass
이야기를,Stories
물론이죠,Sure
학교,school
주는,giving
아가씨,miss
먹어,eat
것에,to
크게,big
이유는,The reason is
군,army
모두들,Everyone
죽인,killed
셋,three
알죠,I know
기억,memory
경찰,police
제이,Jay
그래야,So that
목숨을,life
있을까요,Is it there?
아니지만,Although it is not
했다,did
딸,daughter
많아,many
떨어져,away
사람이야,It's a person
다시는,never
거잖아,That's right
애들이,kids
애를,struggling
을,second
말이다,That's right
없다는,There is no
만들,make
오면,When you come
할게요,I will do it
아기,baby
영화,movie
가족,family
찾았어,I found it
특히,especially
아들을,son
제발요,please
꿈을,dream
세상을,the world
놈을,The guy
아니었어,It wasn't
마이크,mike
그리,picture
무엇을,what
만드는,fabricated
얼마,how much
보여요,I can see it
사진,picture
칼,knife
잠시만,for a moment
병원에,to the hospital
같습니다,It's the same
바보,fool
열어,open it
현재,today
해줘,Do it
주지,gist
했습니다,I did
자주,often
있겠지,There must be
하는거야,Are you doing it?
샘,fountain
꺼져,go away
가만히,Still
그랬지,It did
지금까지,until now
저거,that
당연하지,of course
나서,After
그것,that
또한,also
보이지,I can't see it
노래,sing
위험한,dangerous
클레어,claire
쉽게,easily
오지,Ozzy
정말요,really
계획이,plan
잡고,hold on
열심히,try hard
마라,Mara
경찰이,the police
말하면,If you say
방에,In my room
됐다,done
마음이,Mind
메러디스,meredith
운이,lucky
드디어,at las
정보를,Information
말입니다,I mean
때는,When
얼굴을,face
만난,met
있거든,Because there is
달,moon
약간,a little
했다고,I did it
일찍,early
굉장히,greatly
못해요,I can not
진실을,the truth
줄게,I'll give
아세요,do you know
누굴,who
거라,That's it
가족이,family
새로,New
절대로,never
와요,come
알지만,I know but
되어,Became
내려,get off
같네,It's the same
그거야,That's it
크리스티나,Christina
사이에,Between
자꾸,repeatedly
저리,there
사실을,fact
프랭크,frank
와우,wow
뛰어,run
갔어,went
죽게,to die
네게,To you
심지어,even
글쎄요,well
사람의,people's
오랫동안,for a long time
모습을,appearance
얘기가,The story
아이고,oh my
상관,relation
일하는,working
짐,load
길,road
사건,Event
그렇다고,That's right
들어요,listen
상황을,the situation
옷을,Clothes
일이죠,It's work
아니예요,No
죽어,die
뿐이에요,It's just that
필요는,need
여기요,Here you go
사랑해요,i love you
죽는,perishing
누군가가,someone
얘기해,Talk to me
모두를,everyone
커피,coffee
있는거야,Is it there?
있으니,Because
없지만,There is no
열,heat
다신,never again
만날,everyday
남자는,The man
저희는,We
떠날,leave
맞죠,Right
아들이,my son
놈은,The guy
하나가,There is one
의사,doctor
박사님,Doctor
나오는,coming out
딸이,daughter
거짓말을,lie
했고,I did it
보내,send
받은,received
쓰고,write
곳이,The place is
된다고,It's okay
설마,no way
우리한테,to us
방법은,Way
인생을,life
보이는,visible
정도로,to the extent
아니오,no
여러,several
자고,Sleep
한다면,if
실례합니다,excuse me
기회가,there is a chance
했을,would have done
결혼,marriage
소리를,sound
알았다,I get it
해야지,I have to do it
완벽한,Perfect
있었다,there was
곳을,place
겨우,barely
없으면,If there is no
아내가,wife
있습니까,Are there any
만들고,create
비켜,Move
그것을,that
피를,blood
못한,couldn't
말씀,words
자식,child
만약에,If the
위대한,great
써,write
이리와,Come on
눈이,Snow
사람도,People too
요,yo. this
자신이,myself
당신한테,To you
보통,commonly
나갈,go out
보다,see
앉아서,sit down
도와줘요,Help me
원하지,want
이쪽으로,Come this way
생각하고,thinking
사랑을,Love is
너네,Yours
조,article
밖에서,outside
들어와,come in
그렇군요,okay
척,chuck
같군,Same
나온,came out
같지,Same
불러,Call
도움을,help
마음,mind
최선을,Do your best
된다,do
곳으로,to the place
아기를,baby
죽이고,kill
대단한,Great
뭐예요,what
환자를,the patient
똑같은,same
가능한,possible
친구들,friends
원해,want
좋아해,i like you
될까,Will it work?
봤지,I saw it
방,room
몰라도,I don't know but
갈게요,I'll go
때도,Even when
움직여,in action
눈에,in the eyes
숨을,breathe
음악,music
자는,sleeping
딸을,daughter
모르겠네요,I don't know
의사가,doctor
셜록,sherlock
딴,different
가져와,bring it
세상에서,in the world
소리가,the sound
시간은,time is
도울,help
만한,worthy
남편이,husband
한다는,to say
아버지를,father
일로,work
감옥에,in jail
됐지,Okay
짓,act
순간,Moment
도와줄,help me
있도록,so that
할머니,grandma
짓이야,It's a joke
쓰는,inscribed
했잖아요,You did it
너희들,you
피터,Peter
당신들,You
그날,that day
화가,artist
새끼,young
쓴,written
안에서,inside
최대한,Most
하네,Yes
팀,team
이후로,after that
그들,them
이지,easy
그치,right
죽었어요,dead
곳에서,in a place
때마다,Whenever
몸이,body
모든게,Everything
캠,cam
어차피,anyway
압니다,I know
기억이,memory
어딜,where
산,mountain
들려,I can hear
있네요,There is
분이,The person
없어서,Because I don’t have it
이곳에,here
미안하지만,I'm sorry
일어난,happened
왔습니다,came
로스,Loss
속에서,inside
친구를,friends
모르지만,I don't know but
예쁜,pretty
몸을,body
잊지,forget
엄마한테,To mom
왔다,come
했는지,Did you do it?
타,get on
같군요,It seems like
명,number of people
모든걸,Everything
하라고,Do it
그렇습니다,That's right
때문이야,It's because
있겠어,There must be
덕분에,Thanks to
싶으면,If you want
나가서,go out
비밀,secret
달라,different
것보다,than
찾았어요,I found it
대,big
데릭,derrick
고통을,pain
환자는,The patient
엄마랑,With mom
진정한,genuine
같다,same
생긴,appeared
병원,hospital
반가워요,nice to meet you
내내,all the time
가도,street
생각에,in thoughts
오세요,Please come
이러지,Like this
따르면,according to
고맙네,Thank you
할까요,should
사진을,Photos
않게,without
한잔,a drink
않는다,does not
있었고,There was
되는데,It works
남자를,a man
안으로,in
알았죠,Okay
물론이지,of course
보낸,sent
피가,blood
하니까,Because
아가,baby
반드시,certainly
아무리,no matter how
얘기는,The story is
잘못된,wrong
오케이,okay
알아야,I need to know
걸요,Girl
해줄,Do it
자리를,place
문제야,It's a problem
이유를,The reason
그러다,Then
약을,medicine
싶었어,I wanted to
높은,High
같아서,It's like
이해,understanding
하나만,just one
돌아올,come back
있는게,There is something
좋습니다,great
좋다,good night
배를,ship
찾아야,find it
못하게,Don't let me
막을,stop it
계획을,plan
루크,Luke
이래,since
모르고,without knowing
없잖아요,There isn't one
그녀,she
그동안,Meantime
거니,Gurney
빼고,without
거긴,There
이라고,I said
그랬어요,I did
더는,no more
죽지,Not dead
녀석,guy
몰랐어,I did not know
리,lee
뭐라,what
박사,doctor
죽였어,I killed it
믿고,believe it
좋네요,It's good
여기까지,So far
이쪽은,This is
사람들에게,to people
아빠를,Dad
어려운,difficult
봤는데,I saw it
적은,few
법을,the law
모르겠다,I don't know
신이,god
그렇고,By the way
관심,interest
집이,House is
오직,Only
좋아해요,i like you
있었습니다,There was
나은,better
않아도,Even if you don't have to
나면,After
옛날,A long ago
얘가,This guy
식으로,in this way
그걸로,With that
냄새가,it smells
못하는,can't
인간,human
세상이,the world
책,book
모두에게,to everyone
말해줘,tell me
처음으로,For the first time
그러게,I know
실제로,actually
제임스,James
데려다,take me
크리스마스,christmas
보기,look
신의,faith
말했잖아,I told you
말했어,I said
돌아갈,go back
한번도,never
긴,long
움직이지,Don't move
착한,kind
일이지,It's work
쓰지,Write it
곳,place
도와주세요,help
그러죠,Of course
거니까,Because it is
곁에,beside
그녀에게,to her
그러는,That's it
머리에,on the head
확인해,check it
싶어서,Because I want to
것들을,things
데이트,date
사고,accident
한거야,I did it
세상,world
감사해요,thank you
책을,Books
배,ship
젊은,young
가자고,Let's go
아닌가,is not it
좋겠어요,It's good for you
비행기,airplane
맥스,max
하잖아,You say it
없소,No
애들은,The kids
오늘밤,Tonight
고맙다,thanks
라는,in
언젠가,someday
필요할,needed
아이들을,children
우리와,with us
머리가,Head
그것이,That is
세계,world
애는,The kid
죽여,kill it
차가,car
죽고,die
따라와,Follow
힘이,strength
확실해,Are you sure
기억해,remember
있어도,Even if
자네를,you
오래된,old
기억나,I remember
루시어스,Lucius
분은,The person
얘기하고,talking
상관없어,doesn't care
다섯,five
이제는,now
없네요,There isn't any
돌아가,go back
자리에,in place
이만,this much
바랍니다,wish
느낌이,the feeling is
어머,oh
뭐든지,anything
되요,It works
마약,drug
행운을,Good luck
봐야,Must see
선생님은,The teacher
줄은,The line is
몰래,stealthily
불쌍한,poor
아니잖아요,That's not true
있거든요,Because there is
며칠,few days
저랑,With me
결코,never
이걸로,With this
안녕히,Bye
아이는,The child
자네의,your
입을,mouth
근처에,Near
들은,heard
뭐하는거야,what are you doing
기다려요,Wait
뭐라도,Anything
않지만,But
배가,My stomach
뒤,back
어떡해,oh my god
몸,body
죽이지,Kill me
해주세요,Please
봐라,Look
어서요,Come on
어째서,why
놓고,let go
지금도,Even now
아나,Ana
맞다,right
좋네,Good
의해,due to
시간에,in time
차라리,rather
헨리,Henry
가끔은,Sometimes
생각했어,I thought
할아버지,grandfather
덜,less
곳은,The place is
남편,husband
애들을,The kids
구할,save
싶은데,I want to
불,fire
저렇게,Like that
돈은,money
아직은,Not yet
상태가,status
위로,consolation
가져,take it
얘긴,The story
안전한,safe
실수를,make a mistake
미리,beforehand
모를,I don't know
명이,Myeongseong
사랑에,in love
전엔,Before
갔어요,went
갖다,have
대화를,Conversation
하나는,The one is
벤,ben
지도,map
가능성이,possiblity
하는게,Doing it
있는데요,There is
실은,actually
먹는,eating
확인,check
심각한,Serious
달라고,ask for it
것만,only
있기,There is
그와,with him
형사님,Detective
모르죠,I don't know
몰랐어요,I did not know
결정을,make a decision
파티,party
날이,the day
최악의,worst
많아요,many
죄송하지만,I'm sorry
있었는지,Was there
미스터,Mister
평범한,Normal
뜻이야,It means
올게,I'll come
살인,Murder
있겠죠,There must be
들을,hear
믿어요,believe
우선,first of all
마시고,drink
당신들이,you guys
자네도,You too
혼자서,alone
심장,heart
좋은데,Good
그런거,Something like that
그들에게,To them
녀석이,This guy
하면서,while doing
좋아하지,I don't like it
너희가,you guys
처음부터,from the beginning
심장이,the heart
보낼,send
가만,wait
않는다면,If not
심장을,heart
자넬,Janelle
뭐라구요,What did you say
갔다,went
고양이,cat
위치를,location
첫번째,first
생각도,Even thinking
동생,Brother
못했어,I couldn't do it
않았다,did
내버려,Leave it alone
진심으로,sincerely
당연하죠,of course
번도,Even
둘다,both
과장님,Manager
중입니다,In progress
마침내,Finally
씨가,Mr.
검은,black
오말리,O'Malley
봐도,Even if you look at it
적도,equator
아닐,Not
다리,leg
무기를,weapons
주면,If you give it
돌아,spin
릴리,lily
뭔가가,something
따로,separately
없으니까,Because there is no
어디야,where are you
끝까지,to the end
준비해,get ready
카메라,camera
아무튼,anyway
알다시피,as you know
죽으면,If I die
않죠,Isn't it?
만나,meet
않나,Isn’t it?
아니라면,If not
임마,Hey
중이에요,I'm in the middle of it
누군가를,someone
있을지,Will there be
있단,There is
돌아와,Come back
메리,merry
보자고,Let's see
돼서,It's done
들어갈,go in
않지,No
목을,neck
마크,mark
정도는,To some extent
아는데,I know
게임,game
강한,strong
정말이야,Really
받는,subject
물건을,Things
무서워,scared
것으로,as
얘기할,to talk about
싶었어요,I wanted to
수정,correction
걱정하지,Don't worry
뭐에요,What is it
제길,damn
가치가,worth it
말인지,Is it true?
수술이,surgery
없다면,If not
톰,tom
클라라,Clara
삼촌,uncle
찾은,found
질문,question
저들이,They
서로를,each other
얼굴이,The face
아무래도,I guess
당신들은,you guys
사건을,incident
됐죠,That's it
꿈,dream
입은,dressed
받았어,I got it
할수,Could
빠져,Fall in love
물을,the water
아기가,baby
닉,nick
것과,and
명령을,command
부터,from
거라면,If it is
죽이는,killing
정신이,out of mind
아파,it hurts
모르겠네,I don't know
똑같이,same
꽤나,quite
되잖아,It works
형이,My brother
밑에,under
아니었어요,It wasn't
어렸을,I was young
말했어요,I said
그만해요,stop it
에서,at
학교에,at school
아무런,nothing
글로리아,Gloria
반,half
아이들이,the kids are
그리곤,And then
거냐,Are you going?
한데,But
아버지의,father's
받지,I don't get it
일하고,working
말이오,I mean
없나요,Isn't there
원한다면,if you want
생각할,think about
버려,throw away
즉시,immediately
거대한,giant
가봐,Go
발,foot
들어가서,go in
시작,start
사람에게,to people
내놔,Give it to me
행복한,happy
나머지,remain
윌,will
도와,help
노래를,song
왔는데,I came
요원,agent
되게,very
누구죠,who is it
얼굴에,on the face
하실,You can do it
환영합니다,welcome
걸까,Is it
되겠지,It will work
괜찮지,Are you fine
하던,used to
아내를,wife
놈의,bastard
미쳤어,it's crazy
이것도,This too
일부러,on purpose
혹은,or
나올,come out
찾으러,To find it
걔는,He is
잡을,catch
똑바로,upright
얻을,get
이해해,I understand
무지,ignorance
쪽으로,towards
무슨일이,what happened
이해할,understand
친구야,friend
어머니가,mother
질문을,ask a question
워,woah
엎드려,Lie down
있단다,There is
너희들이,You guys
놈들,bastards
병원에서,at the hospital
믿는,believe
회사,company
떨어진,fallen
간에,liver
쪽,side
다야,That's it
선물,gift
안되는,It doesn't work
찾아서,find
전쟁을,war
친구들이,friends
마이클,Michael
싸울,fight
만나고,meet
기다리는,waiting
쉬운,easy
매니,Manny
말로는,In words
관심이,Interest
에이미,Amy
사람이에요,It's a person
끝난,done
원치,want
재밌는,fun
말인데,Speaking of which
