korean,english
그렇겠지,I guess so
피,blood
예전에,Before
건배,Cheers
뭔데요,What is it
알면,If you know
엄마도,Mom too
것들이,things
하려는,want to
맨날,everyday
있군,There is
물러서,Step back
숨,breath
팔,eight
더러운,dirty
옳은,correct
출혈이,bleeding
즐거운,happy
다음엔,Next time
뭐해,What are you doing
준비됐어,I'm ready
검사,test
제기랄,Shit
길이,length
나만,only me
있고요,There is
이것은,this is
좋겠다,Envy you
전에도,Even before
함장님,Captain
관해,About
원,one
죽음을,death
사람들의,People's
해라,do it
알잖아요,You know
거란,Khitan
다리를,legs
어젯밤에,last night
보내고,send
쟤가,He is
오후,afternoon
영향을,Affect
바라는,wishing
만나러,to meet
이러는,Like this
다음은,next
보죠,Let's see
말해야,I have to say
몸에,on the body
아빠한테,To dad
약속을,promise
드릴게요,I'll give it to you
미안하다,sorry
바람,wind
있다고요,There is
은,silver
하나를,one
최소한,at least
전하,majesty
조니,Johnny
발사,launch
무서운,scary
못하고,I can't
이길,beat
일어날,wake up
말하자면,as it were
까지,until
나보다,than me
둘은,The two
놈들은,They are
능력을,ability
차에서,in the car
않네,It's not
생각했어요,I thought
그랬죠,It was like that
상처를,hurt
생겼어,It looks like
물이,water is
가까운,near
켄,ken
없나,Is there any?
보라고,Look
불을,light up
종일,all day
레이,ray
아이구,Oops
미래를,the future
하나의,Single
점심,lunch
나가요,I'm going out
최근에,Recently
있었다고,There was
최고,best
가라,good
파티에,to the party
진짜야,Really
아픈,Hurt
리가,riga
것들,those
전에는,late
맞았어,You're right
걸어,walk
않나요,Isn’t it?
효과가,It works
때부터,From when
수술에,to surgery
되나요,Does it work?
도시,city
아래,under
모릅니다,I do not know
자리,seat
죄를,sin
가져다,bring it
감히,dare
진심이야,I'm serious
돌려,turn
뭐하고,What are you doing
누구지,Who is it
아닌가요,is not it
저흰,We
일인지,Is it work?
인간의,human's
저의,my
그땐,At that time
명의,Name
남았어,There's left
하루종일,All day
자막,Subtitle
쉽지,It's easy
하러,to do
전까지,Until
냄새,smell
갈래,Shall we go
여기선,Here
생명을,life
바꿀,change
아내,wife
어떻게든,somehow
필요로,need
문이,the door
술을,alcohol
끝나면,When it's over
왔지,came
무기,weapon
버리고,Throw away
지역,region
해줘요,Please do it
어젯밤,yesternight
된다면,If I could
올려,Put it up
싶다면,If you want
좋게,good
될지,Will it happen?
끌고,drag
거래를,make a deal
볼까,Let's see
조심해요,Careful
지금부터,From now on
폐하,your majesty
만,only
미안한데,I'm sorry
축하해,congratulations
하,under
인생,life
안전하게,safety
말하길,said
언니가,My sister
유명한,famous
숨어,behind
로,as
밤새,Overnight
처음엔,at first
나요,It's me
잠을,Sleep
세상은,The world
얘는,This is
오랜,long-time
최근,recent
좋죠,It's good
카레브,Karev
내말은,I mean
리처드,richard
사람한테,To people
학교에서,At school
달려,run
갈거야,I'm going
왼쪽,left
사실이,It's true
경우,case
안해,I will not
수많은,Countless
가기,Going
귀여운,cute
채,stick
크리스,chris
하니,hani
소식을,news
의미가,meaning
사람과,with people
받았어요,received
됐습니다,Done
전쟁,War
손이,hand
장난,joke
괜찮니,Are you okay
시작해,start
아니니까,Because no
스콧,scott
드릴까요,Would you like
마셔,drink
쿠키,cookie
보이는데,I can see it
끝났어요,It's done
방에서,in the room
카라,Kara
담배,cigarette
잘하고,Doing well
내겐,To me
저에게,to me
파티를,party
폴,pole
뿐이지,It's just
맘대로,As you like
전해,the year before
데리러,pick up
장,page
삶의,of life
괜찮습니다,it's okay
찰리,Charlie
없었다,There was no
영국,uk
왔네,You came
필요합니다,Required
라,la
대니,Danny
이상해,Strange
사건이,the incident
매번,every time
거잖아요,That's right
보스,boss
걸세,Girl
생각해봐,lets think
오신,Welcome
비밀을,secret
있긴,There is
개를,dog
간다고,I'm going
빠르게,fast
생각합니다,I think
괜찮으세요,Are you okay
어찌,How
오른쪽,right
말로,in words
위험해,Dangerous
범인은,The culprit is
가방,bag
떠나지,leave
만들었어,I made it
싶다고,I want to
개가,a dog
뉴욕,New York
그러세요,Please
먼,far
있는거,There is something
이따,later
느낄,feel
우와,wow
위하여,for
열쇠,key
도시를,the city
낼,tomorrow
바닥에,on the floor
든,All
생각했는데,I thought
진,jin
말했지,I said
가르쳐,teach
마찬가지야,Same thing
깊은,deep
났어,It happened
물건,thing
금지,prohibition
살아있는,alive
또는,or
찾으면,If you find it
존나,Damn it
떠나,leave
가죠,Let's go
사람들도,People too
않았습니다,didn't
파블로,pablo
선물을,a gift
자격이,qualified
스스로를,yourself
마을,Town
손으로,by hand
누나,sister
놈들을,Those guys
때문이지,Because
비슷한,Similar
없이는,without
갑니다,going
계신,you are there
아가야,Baby
시체를,the body
데려가,Take it away
말해요,tell me
자가,self
옳지,That's right
어릴,young
듯,Seems like
된다는,It's said
잘못이,It's my fault
아시죠,You know
동시에,at the same time
형은,My brother
안다고,I know
이동,movement
음식을,food
아빠랑,With dad
전까진,Until now
고작,At best
만들지,I won't make it
해야할,have to do
준비를,get ready
못했어요,I couldn't do it
번역,translation
범인이,The culprit
죽이려고,to kill
수술은,The surgery
뿐,only
싶을,want to
누구나,everyone
우리랑,with us
너희들은,You guys
언제부터,Since when
누구든,anyone
관심을,interest
관련된,Related
음식,food
걸릴,take
소릴,noise
왕이,king
찾지,I can't find it
약속,promise
들려요,I can hear you
온다,come
어떤지,What is it like?
보여줘,show me
생각이야,It's a thought
무척,very
치프,Chief
인간이,human
알겠죠,You understand
대해선,About
않네요,It doesn't work
개인,individual
전부터,From before
데이비드,david
잘됐네,That's good
내려놔,Put it down
놀라운,amazing
엄청나게,incredibly
똑똑한,smart
행동을,action
위험을,risk
연락,Communication
도,do
화장실,restroom
1년,1 year
사랑은,Love is
부르는,vocative
생기면,If it happens
부모님이,my parents
부인이,The wife
하겠습니다,I'll do it
넣어,Put
힘들어,it's hard
감정을,feelings
커다란,big
위에서,from above
진정해요,Calm down
세상의,of the world
싶진,I don't want to
형님,older brother
돌아오지,I won't come back
방을,the room
결과를,the result
있으세요,Do you have
않았지,It wasn't
소식이,There is news
임무를,mission
사장님,president
하긴,but
하나요,Do you do it?
남아,stay
듣지,listen
신,god
오빠가,My brother
앨리슨,Allison
아내는,my wife
하자고,Let's do it
보안,security
맞습니다,you're right
아래로,Under
버크,burke
이러면,If this happens
약간의,Slightly
모르겠는데,I don't know
대부분,mostly
없었죠,There wasn't
원해요,I want it
모르잖아,You don't know
미안합니다,I'm sorry
누구요,Who is it
싸우고,fighting
없군,No
줬어,I gave it to you
저와,with me
할래,I want to do it
같구나,It's the same
됐네,That's it
왔을,came
대학,university
드릴,drill
좀더,more
검사를,inspection
예전,Previous
싶습니다,I would like to
스티븐스,stevens
이거야,This is it
있겠어요,Is it possible?
않았을,wouldn't have
나가는,outgoing
반갑습니다,Nice to meet you
아저씨가,Uncle
질,quality
기억을,remember
돕고,helping
죽기,die
봤을,saw it
섹스,sex
올게요,I'll come
떠난,left
하네요,It does
누구랑,with who
앤,Anne
누군가는,someone
아들은,The son
바,bar
마음대로,as you please
만나게,meet
않아서,Because
결혼을,get married
보니까,Looking at it
씨는,Mr.
잃은,bereaved
그런게,Something like that
엄만,mom
해봐요,Try it
빨간,Red
때문이죠,Because
강력한,strong
환자의,patient's
대통령님,Mr. President
맥주,beer
아니거든,no it's not
얘기하는,talking
중요하지,It's not important
늦었어,late
남편은,My husband
크고,big and
두번째,second
해서요,Because
연락을,contact me
왜죠,Why?
나무,tree
만세,hurray
쉐퍼드,Shepherd
자유,freedom
관계를,relationship
싸우는,fighting
거라는,That's it
경찰에,to the police
기다릴,wait
여행,travel
이제야,Now
여자랑,With a woman
그곳에,there
치료를,treatment
자네에게,to you
종류의,kind of
연락이,Contact me
줄까,Should I give it to you?
안했어,I didn't do it
고,go
만나는,meet
달린,ran
루시,Lucy
그렇군,Right
않을까,Wouldn't it be
안그래,is not it
전화해서,By calling
나와서,come out
지금이,Now is the time
괜찮을거야,It will be fine
세게,Harder
이것이,this
신발,shoes
답을,answer
팀이,team
괜히,in vain
헤일리,Hailey
셰퍼드,shepherd
있을지도,maybe
서서,standing
애야,Baby
결과가,the result
해냈어,I did it
했나,did you do it
별거,separation
러시아,russia
아빤,Dad
알겠다,i get it
밤을,night
루시퍼,lucifer
전화해,Call me
달리,unlike
이야기는,The story is
친한,friendly
하겠어,I will do it
어떤가,What is it like?
증거가,there is evidence
사랑이,love
깜짝,surprise
있었을,there was
가봐야,I have to go
행복해,happy
대부분의,Most of
생각한,thought
침대,bed
넣고,put it in
밑에서,from below
않았죠,It wasn't
걸고,Put it on
증거를,evidence
칼을,a knife
게임을,play the game
침대에,in bed
가족은,family
봅시다,let's see
타마오,tamao
나왔어,I'm here
거래,transaction
행복하게,happily
녀석은,The guy
영혼을,the soul
삶은,boiled
위험에,in danger
끝날,It will end
두려워,I'm afraid
개인적인,personal
아버진,father
저들은,They are
뭡니까,What is it
즉,in other words
2년,2 years
미스,miss
중국,china
속,inside
걱정마,don't worry
여지가,There is room
가라고,Go
가야지,I have to go
집은,The house is
봐서,Seeing it
결혼식,Wedding ceremony
자를,cut
기꺼이,Gladly
없으니,Because there is no
여기야,It's here
오게,come
싫어하는,reluctant
하시는,Doing it
몇몇,some
있다가,later
확실한,sure
물어봐,ask
필요하면,If necessary
누구한테,To whom
결과,result
없었지,There wasn't
말게,Don't
정신을,spirit
부르지,I'll call you
케빈,Kevin
제시,proposal
그쪽,over there
새끼야,You bastard
불이,fire
영화를,movie
맨,Man
나한텐,To me
늦게,late
간단한,simple
상당히,Pretty
너흰,You guys
발을,feet
이후,after
이리로,Come here
보입니다,I see it
줄래,Will you give it to me?
돈도,Money too
다르게,differently
삶이,life
다치게,hurt
뿐입니다,It's just
생각보다,Than you think
나에,My
차는,filled
살짝,a little
못하면,If you can't do it
상처,wound
필요도,No need
하셨어요,You did it
곳이야,It's a place
죽음의,of death
빈,bean
필요없어,I do not need
농담,joke
번만,Just once
번이나,once
있는건,What is there
드세요,Please eat
어쩌다,somehow
잡았어,Got it
동생이,My younger brother
뭐냐,What
미첼,Mitchell
건물,building
있대,They say there is
여자야,Is it a girl
좋아할,like it
인생은,Life is
챙겨,take
됐고,It's done
이상하게,wonderfully
잃을,lose
모른다고,I don't know
생각하면,If you think about it
거라고요,I guess
인생이,life
약속해,Promise
자동차,automobile
들어봐요,Listen
없을거야,There won't be
예를,example
돌아가서,home
편지를,The letter
빌리,Billy
10분,10 minutes
안다,know
일하러,to work
걸린,hanging
질문에,to the question
뒤에서,from behind
미,mi
주에,in the week
말했죠,I said
너희는,you guys
끝나고,after finish
말에,in words
대통령,president
보냈어,Sent it
안나,Anna
시간이야,It's time
춤을,dance
오늘이,today
행크,Hank
달러,dollar
끝이야,It's over
에이버리,avery
거네,It's there
일주일,one week
꼬마,Little
가슴,chest
완료,complete
이야,Hey
한가지,one thing
어딨어요,Where are you?
아니겠지,Probably not
갈까,Should I go?
아들아,Son
배리,Barry
땅에,on the ground
신은,God is
고맙소,Thank you
신경쓰지,I don't care
나왔어요,I'm here
누군데,who
30분,30 minutes
있었잖아,There was
어딨는지,Where is it?
남편을,my husband
비록,Although
뒤를,behind
너야,it's you
마십시오,do
딘,dean
그만둬,stop
받아야,I have to get it
마실,drink
심하게,badly
5분,5 minutes
들었는데,I heard it
오기,coming
없게,without
소중한,precious
개의,doggy
할아버지가,Grandfather
어쩌지,What should I do?
가려고,to go
호텔,hotel
듣는,listen
나이,age
일종의,sort of
필요하지,I don't need it
일들이,things happen
더욱,More
안되요,No
제이크,Jake
치워,Put it away
저도요,me too
거였어,It was
엄마의,mom's
인생의,of life
할머니가,Grandma
당신이랑,With you
거군요,That's it
지내,stay
아기는,The baby
어떨까,What about
아니네,Nope
경찰을,police
쉬어,rest
해결할,solve it
전화가,There is a phone call
공격을,attack
아니라는,It's not
신부님,Father
별일,special day
하느님,God
걱정할,worry about
사고가,accident
찾기,find
길에,on the road
보이네,I see it
나가야,I have to get out
데려와,Bring it
사람들과,with people
빠른,fast
돌아가는,going back
일들을,Do things
말해봐요,Tell me
신을,God
자말,Jamal
수밖에,I have no choice but to
줬어요,I gave it to you
걸려,caught
이대로,like this
에이,no way
보내는,sending
어머니는,mother
가득,full
보여줄,to show
않도록,so as not to
아이의,child's
있다구요,There is
안됩니다,It's not possible
힘,strength
바람에,in the wind
헬렌,helen
및,and
않은데,I don't think so
쓰레기,trash
들었지,I heard
도움,help
메시지를,message
치고,hit
일할,work
모른다,I do not know
아예,At all
않잖아,It's not
다리가,legs
팔을,arm
같애,Same
보인다,see
죽었다고,He died
정보가,information
하도록,so
생각하세요,think
빌,bill
이곳,this place
계획은,The plan is
나보고,Look at me
그런가,is it
좋고,good and
누구세요,who are you
굳이,Why?
자식이,child
언제든,whenever
완벽하게,perfectly
아이들,children
안전해,It's safe
않다고,No
해보자,Let's do it
앉으세요,Sit
받게,receive
된거야,It's done
하셨죠,You did it
어떠세요,How are you?
계속해서,Continue
않았다면,If not
했네,I did it
각자,Each
단순한,simple
맛이,Taste
있었나,Was there
무릎,knee
눈으로,with your eyes
감옥에서,in prison
좋겠네요,That would be nice
채로,As it is
충분한,enough
있었으면,If there was
되겠죠,It will work
싶다,want
물어,bite
정도면,That's enough
어딘가에,somewhere
군대를,army
소식은,The news is
하더군요,He said
보이네요,I can see it
포,pho
멈추지,stop
사,buy
경찰은,The police
신호를,signal
차려,set up
없거든,Because there is no
있을거에요,There will be
문자,message
불러요,Call
선택을,make a choice
오셨어요,You came
남의,someone else's
나가자,Let's go out
등,etc.
가짜,FALSE
사건에,in the case
역할을,role
몇가지,a few
아파요,sick
상황에,in the situation
아니란,No
이름으로,by name
차로,by car
줘야,I have to give it
뿐이죠,That's it
틀렸어,Wrong
있어서요,Because there is
우,right
따라서,thus
뭐니,What is it
말만,Just talk
정보,information
좋다고,I like it
말해줘요,tell me
아이들은,children
이유,reason
쇼,show
아빠도,Dad
왠지,Somehow
않는다고,I don't say
총에,to the gun
되기,becoming
지구,earth
향해,toward
전체를,the whole
와인,wine
꿈이,dream
싶지만,I want to but
쳐,Hit it
독일,germany
사랑의,of love
반가워,nice to meet you
많지,A lot
늙은,old
쏘지,Shoot
비디오,video
확실하게,Surely
오히려,rather
토레스,Torres
않니,Isn’t it?
부를,wealth
목소리,voice
얘기야,It's a story
레드,Red
거면,If you are
그녀와,with her
올라가,go up
희망을,hope
알려줘,let me know
월터,Walter
주셔서,Thank you
멈출,stop
그나저나,by the way
차례야,It's your turn
고등학교,high school
저요,Me
사실이야,It's true
주십시오,please give it to me
소식,News
온거야,It came
실제,real
기록을,record
괜찮다고,It's okay
말하기,speaking
이틀,Two days
들어가면,When you go in
선택의,of choice
멋져,cool
회사를,the company
한참,long time
어땠어,how was it
그에,On that
방으로,to the room
찰스,charles
알겠지만,"You know, but"
모자,hat
엘리자베스,elizabeth
손님,customer
하나님,father
프랑스,france
이를,This
질문이,I have a question
이상의,ideal
됐는데,It's okay
일어나는,astir
합시다,Let's do it
요새,these days
미국의,american
그러는데,That said
뜻은,The meaning is
성,castle
작전,Operations
여자와,with a woman
사랑하지,I love you
너무나,too
부모님,parents
여행을,trip
않았으면,I wish it wasn't so
사랑한다,love
돌아온,back
관련,related
벌,punishment
목소리를,voice
중요해,It's important
때문에요,Because
하잖아요,You say it
몰라서,Because I don’t know
먹으면,If you eat it
그렇구나,I see
여잔,girl
그니까,So
홈즈,holmes
릭,Rick
헌트,hunt
오라고,Come
여러분이,Everyone
입에,in your mouth
존스,jones
있으니까요,Because there is
줘서,For giving me
있었나요,Was there
물어볼,to ask
조이,joy
컴퓨터,computer
상황은,The situation is
싶네요,I think so
봤다고,I saw it
붙어,stick
복잡한,complicated
보일,Boyle
팀을,team
다행이다,thank god
결국엔,eventually
물에,in the water
화를,angry
자세히,Details
필요하다고,I need it
2번,No.2
가시죠,Let's go
어두운,dark
뛰어난,excellent
여성,female
일인데,It's work
변호사,lawyer
지켜,Protect
가져왔어,I brought it
바래,Hope
말해서,speaking
2주,2 weeks
놈이야,It's a guy
태어난,born
나가면,When I go out
낫지,It's better
이들은,These are
나머지는,rest of it
돼지,pig
저걸,That
해리,harry
옛,ancient
동네,town
정말이지,Really
고칠,fix it
이야기가,the story
끝이,the end
인간은,Humans are
하킴,Hakim
능력이,ability
전체,entire
대신에,Instead of
깊이,depth
어딨지,Where is it?
같다고,It's the same
벽에,on the wall
이상은,Lee Sang-eun
탈,mask
언젠가는,Someday
그림,painting
그보다,rather than that
없었던,There was no
있군요,There you are
어쩌고,What about
책임을,responsibility
말씀을,say the words
아멘,amen
우주,universe
중에서,Between
때를,When
앉아요,sit down please
여섯,six
순간을,moment
보려고,to see
기억하지,don't remember
죽였어요,I killed it
하루에,Per day
그린,green
사무실에,in the office
손님이,customer
이해해요,I understand
전쟁이,war
비가,elegy
10년,10 years
왕,king
것들은,things
나을,better
녀석을,The guy
때문이에요,It's because
그렇겠죠,I guess so.
몸은,The body
지킬,Jekyll
마틴,martin
카드,card
모르겠습니다,I do not know
좋았어요,It was good
공주님,princess
어떻게요,how
달라요,different
했거든,I did it
뜻이죠,It means
해치지,Don't hurt me
받아요,take it
잘됐네요,Good for you
어머니를,mother
꺼,turn off
맡아,Take charge
비행기를,the plane
이러고,Like this
알겠네,I understand
계획,plan
노아,Noah
그래야지,That's how it should be
우리에겐,For us
신호가,signal
슬픈,sad
내일은,tomorrow
인해,Because
잃고,lose
지미,jimmy
이름도,Even the name
수술실에,in the operating room
가져가,take it
남을,others
주변에,Around
엄마와,with mom
않다,not
움직일,move
그런거야,That's it
혈액,blood
꼬마야,Kid
피해,damage
확실해요,I'm sure
다니는,Dani
사랑한다고,I say I love you
이곳에서,Here
권리가,have the right
되나,Does it work?
필립,philip
유일하게,the only one
겠어,I guess
하는거,Doing it
재미,fun
해야겠어,I have to do it
접근,Access
에디,Eddie
선을,line
생각에는,In my thoughts
로버트,robert
동생을,my younger brother
떠나는,leaving
돌아와서,come back
식사,meal
무엇이,what
했거든요,I did it
먹은,ate
코너,corner
상관없어요,does not matter
목에,on the neck
춤,dance
부모님은,My parents
데이브,dave
비,rain
마리,number of animals
못된,naughty
있었지만,There was
축하해요,congratulation
같았어,It was the same
사라진,disappeared
대화,conversation
엘리엇,Elliot
관계가,relationship
됐네요,That's it
아내와,with my wife
얘기도,Talking too
멈춰요,Stop
왓슨,Watson
저번에,The other day
볼게요,I'll see
이란,Iran
음악을,music
대장,Leader
건데요,It's a thing
아줌마,Madame
인생에서,in life
총알이,bullet
들지,lift
국장님,Director
방법,method
끝에,at the end
되니까,Because it works
죽이려,kill me
되겠어,It will work
관련이,related
있구나,There it is
사람들한테,To people
되는지,Is it possible?
위해서요,For
안된다고,I said no
저녁에,In the evening
어떠한,any
말했잖아요,I told you
맞춰,Guess what
못하겠어,I can't do it
했었어,I did it
자요,sleep
하겠지,I will do it
설명할,explain
자유를,freedom
뜻이,meaning
했었지,I did it
편하게,comfortable
높이,height
찾아봐,Look it up
매,hawk
당시,at that time
해가,the sun goes down
법,law
어디가,Where
만에,After a while
키루밍,Key rooming
명은,My name is
잠이,sleep
모습이,The appearance
듣기,Listening
파는,selling
새벽,dawn
둘을,Two
그려,draw
외과,surgery
같으니,It's the same
카논,canon
달러를,dollars
침대에서,in bed
제안을,make a suggestion
범죄,crime
보기엔,At first glance
진정,Calm
다행이야,thank god
나이가,The Age
캡틴,captain
사람으로,As a person
배에,on the boat
되길,I hope it happens
살게,I'll buy it
어머나,Oh my goodness
끝,end
잘못이야,It's wrong
있는거지,It exists
둘이서,Two of us
풀어,release
엉덩이,hip
잊고,forget it
부탁,ask
통해서,Through
거기로,there
힘들게,difficult
폭탄을,bomb
해주고,I do it
읽고,read
이곳은,This place
만일,if
시작한,started
그도,He too
와줘서,For coming
말해줄,tell me
싫다고,I don't like it
여러분의,your
딸은,The daughter
이해를,understand
뭘요,What
있는걸,There is
손가락,finger
수술실에서,in the operating room
나처럼,like me
공격,attack
같아서요,I think it's the same
있었네,There was
같았어요,It was the same
않겠어,I won't
사랑하고,love
갖게,have
없단다,There is no
명을,command
와봐,Come
나오면,When it comes out
릴리가,Lily
타는,burning
주려고,To give it to you
아시잖아요,You know
땅을,land
이곳을,This place
말해주지,I'll tell you
부분을,part
상태로,in the state
도로,road name
이유로,reason
살아요,live
마음은,The heart
배포,distribution
드리죠,I'll give it to you
내고,pay it
왔는지,Did you come?
들,field
웨버,Weber
말했던,said
먹으러,to eat
진지하게,Earnestly
얘기하지,Let's talk
줄을,line up
여자의,woman's
원하면,If you want
해야만,I have to
들어와요,Come in
목이,sore throat
책임이,responsible
만들었어요,I made it
미란다,Miranda
이쪽,this way
버릴,Throw away
키,key
해본,tried
런던,London
먹었어,ate
봅니다,see
지냈어,How have you been?
후로,Afterwards
개인적으로,Personally
거나,Or
지금쯤,By now
살인을,murder
여자들이,women
됐나,Is it okay?
캘리,Callie
아래에,Under
뭐가요,What
생길,will happen
은행,bank
결혼할,to get married
바비,Bobby
아버지와,with my father
편지,letter
않았고,didn't
안되지,No way
말대로,As said
볼게,I'll see
상황,situation
되서,Because
누구라도,anyone
누워,lie down
보이고,I see it
삼촌이,uncle
스티브,Steve
치료,therapy
3년,3 years
그놈이,That guy
여자들은,The women
하거든,Because I do it
있었다면,If there was
엘리스,ellis
들어온,came in
해낼,do it
알려,let me know
들면,If
상상도,imagination
단순히,simply
시작했어,I started
몰리,molly
전체가,the whole
도망쳐,run away
안녕하십니까,hello
하던데,They said
들어오세요,Come on in
하다니,should
정확한,accurate
보냈어요,I sent
부스,booth
마리아,Maria
적절한,appropriate
데가,day
않소,No
대기,atmosphere
잃었어,I lost it
트럭,truck
개자식,motherfucker
견딜,endure
재밌게,Have fun
너처럼,As you
쉬고,rest
위험해요,It's dangerous
천,cloth
생각하나,Do you think
에릭,Eric
들으면,If you listen
다만,but
데이빗,david
선생님을,teacher
만났어,met
시키는,Shiki
짐을,us
윌슨,wilson
오웬,owen
남자의,man's
기다려봐,wait
부인은,The wife
짓은,did
충분해,that's enough
나와요,Come out
케이트,kate
앤디,Andy
꼼짝,Stuck
전투,battle
없겠지,Probably not
탄,burnt
브라이언,Brian
키스,kiss
대해서는,About
안전하지,not safe
무언가를,something
게이,gay
되잖아요,It works.
형제,sibling
적을,enemy
폭탄,bomb
않을거에요,I won't
그들과,with them
확인하고,check and
한테,to
교수님,professor
불가능해,It's impossible
않았지만,"I didn't, but"
하겠어요,I will do it
속의,generic
흥미로운,interesting
일곱,seven
씨를,seeds
내로,Inside
남자랑,With a man
따뜻한,warm
섹스를,have sex
있대요,They say there is
말고요,No
성하,His Holiness
영웅이,hero
무언가,something
너만,only you
먹지,Eat
사라,Sarah
거란다,That's it
으,eww
숙녀,Lady
아니까,I don't know
잤어,I slept
토미,Tommy
포기하지,Don't give up
안되,no
되네,It works
드는,lifting
슬론,sloan
틀림없이,definitely
친구들을,friends
생겼어요,I have
수업,class
걸까요,Is it
있구요,There is
시,city
하길,I hope so
가는데,I'm going
머피,murphy
바꿔,change
사람이랑,With people
놀고,playing
세계를,the world
아니란다,No
귀찮게,plaguy
열쇠를,the key
당신에,to you
잘해,do well
훔친,stolen
전까지는,Until
속으로,Inside
대답해,Answer me
잠,sleep
최고야,the best
세상에나,Oh my god
루이스,Louis
보면서,While watching
롭,Rob
기분은,The mood
조심,careful
5년,5 years
되는거야,It will work
알겠나,Do you understand?
이제부터,From now on
그것에,thereto
일어나지,wake up
특별히,especially
잃어버린,lost
때문입니다,because of
대고,against
사무실에서,in the office
부분이,part
새끼가,Baby
심한,severe
주의,caution
똑같아,Same
사건은,The incident
치즈,cheese
들어가는,entering
매년,every year
문제에,in trouble
일어나서,afoot
목,neck
안전을,Be safe
빚을,debt
거리를,distance
맛있는,delicious
이번에는,this time
맞았어요,That's right
시간도,Time too
되었습니다,It's done
의하면,According to
감정이,feelings
열고,open
빈센트,vincent
박사가,The doctor
안전,safety
당신네,You guys
닥치고,Shut up
양이,Sheep
벽을,the wall
잭슨,Jackson
감정,emotion
가야겠어,I have to go
왔구나,You came
복수를,revenge
생각했던,thought
과연,indeed
편이,On the side
아프게,hurts
맞을,Right
형을,Brother
아닐까,Maybe
뭔가요,What is it
써요,Use it
궁금해,curious
이용해,use it
전기,electricity
되세요,Have a good time
알렉스가,Alex
붉은,Red
아무데도,nowhere
원하는게,What you want
죄송한데,I'm sorry
때문이,Because
시작했어요,I started
섹시한,sexy
너나,You too
도와드릴까요,Can I help
신사,Gentleman
왔죠,I came
찾았다,found
목소리가,voice is
길은,The road is
부탁이야,please
칠,seven
사라졌어,It's gone
이번에,this time
돌아가고,go back
생각했죠,I thought
텐데요,I guess
누구를,who
사업을,business
살지,I will live
친구들은,Friends
정부,government
시험,test
운명을,fate
거겠지,I guess it is
백인,White
얻은,obtained
괴물이,monster
없는데요,I don't have any
수술실,operating room
느끼는,feel
해야죠,I have to do it
없었습니다,There was no
그러길,I hope so
그럴지도,Maybe so
끝낼,finish
없단,There is no
잘난,proud
계속해,continue
도저히,No way
왕의,royal
기뻐,Happy
바보같은,Goofy
무슨일이야,what's the matter
전쟁은,war is
살릴,Salil
택시,taxi
찍은,hewn
조만간,soon
진정하세요,calm down
대답을,answer
평화를,peace
테디,teddy
용감한,brave
맞은,stricken
돌아왔어,I'm back
시작하자,Let's begin
작년에,Last year
묻는,asking
하거든요,Because they do it
브라보,bravo
글을,write
토마스,Thomas
왔다고,I came
바란다,I hope
났어요,It happened
24시간,24 hours
불가능한,impossible
뇌,brain
넘게,more than
상처가,hurt
그럴게요,Okay
정확하게,accurately
혼자가,go alone
점은,The point is
이사,move
없군요,There isn't any
임신,pregnancy
그림을,drawing
