korean,english
속도를,speed up
잔뜩,loads
알았다고,I knew
떠나야,have to leave
에드워드,edward
토니,Tony
하진,Hajin
준비됐어요,I'm ready
세워,stand up
여름,summer
감독,director
만지지,don't touch
저기에,over there
보여주고,Show me
대충,Roughly
경,kyung
친구도,Friends too
장소를,place
어떡하지,What do we do
이해하지,I understand
많고,There are many
아무거나,anything
조지가,George
신경을,Pay attention
악마가,the devil
자랑스러워,I'm proud
규칙을,rules
굴지,prominence
말인가,What do you mean?
저기서,over there
시체,dead body
임무,mission
하기로,I decided to do it
쉬,pee
어쩜,How
누나가,My sister
가야해,I have to go
하든,Harden
배운,learned
떠나고,leaving
아야,ouch
감옥,prison
오전,morning
사망,Dead
창문,window
가족과,with family
보네,I see it
걱정은,Worries
잡았다,Got it
제리,Jerry
당겨,pull
맞고,hit
방식으로,in a way
돌아오면,When I come back
리코,Rico
각,each
라그나,Ragna
벗어,Take it off
데려,take me
줄래요,Will you give it to me?
방법으로,in a way
일어나고,wake up
알어,I know
바람이,The wind
갔지,I went
이용해서,By using
들어올,come in
없다고요,There isn't any
안해요,I don't do it
읽어,read
쓰면,If you write
마을을,the village
조금이라도,even a little bit
어디든,anywhere
번에,at once
미안하네,I'm sorry
건드리지,don't touch
대령님,Colonel
언젠간,someday
알기,know
구하고,Seeking
해주지,I'll do it for you
3번,number 3
자긴,Well done
찾게,Find it
데려갈,take me
만나면,When we meet
조사를,Do an investigation
바래요,I hope
더그,Doug
오줌,pee
없었고,There was no
생각했지,I thought
운,luck
갔는데,I went
지키고,protect it
재판장님,Your Honor
종종,often
못하겠어요,I can't do it
병원으로,to the hospital
죽어가고,Dying
했다는,did
고맙지만,"Thank you, but"
엔진,engine
거기다,There
같진,Not the same
레지던트,resident
두지,Doji
언니는,My sister
살면서,While living
각하,dismissal
훌륭해,great
애들한테,To the kids
차고,garage
촬영,filming
스트레스,stress
여기에서,From here
의사를,doctor
내는,smoking
지는,losing
바람을,the wind
어느날,One day
알지도,I don't even know
블랙,black
않았나,Wasn’t it?
지키는,guarded
시신을,the body
애초에,In the first place
있을게,I'll be there
연방,commonwealth
그분은,He is
고통,pain
하시죠,Let's do it
걸렸어,I got caught
비밀로,secretly
결혼한,married
들어와서,come in
당한,suffered
나라를,the country
그런건,That kind of thing
지내고,How are you doing?
어딘지,Where is it
즐겁게,happily
연구,research
허나,However
뜻인지,Is this what you mean?
줄게요,I'll give it to you
솔직하게,honestly
나리,lily
아닌데요,It's not
서류,document
가슴이,The chest
안했어요,I didn't do it
작전을,operation
것이고,and
대가를,price
일본,japan
온갖,all kinds
장난해,Are you kidding me
현장에서,in the field
영상을,video
말씀이,The words
왔나,Did you come?
시스템,system
대부분은,Most of the time
데릭이,Derek
하고요,I do
아이스크림,ice cream
원했던,wanted
엄마야,It's mom
엉덩이를,Ass
버스,bus
돌아가야,I have to go back
부탁해요,please
혈압이,blood pressure
묻지,I ask
핸드폰,cell phone
모르게,Without knowing
멍청아,You idiot
준비하고,get ready
유카와,yukawa
처리할,to handle
정말이에요,Really
뜻이지,It means
비싼,expensive
잃게,lose
허,her
올거야,will come
잡는,grasped
벽,wall
부탁해,please
눈은,The eyes
배고파,hungry
주로,mostly
저것,that
놔두고,leave it
남자들은,Men
구멍을,hole
했나요,Did you do it
일만,ten thousand
힘들,Tiring
돈으로,with money
우연히,by chance
시스템을,system
대위님,Captain
애기,baby
가져왔어요,I brought it
않는다는,That's not
없었는데,There wasn't one
총이,The gun
너희를,you
말했듯이,As I said
네이단,nathan
자식아,You bastard
무,radish
조엘,Joel
받으면,If you get it
사실대로,truthfully
않습니까,Isn't it?
뜨거운,hot
멋지네요,awesome
같고,It's the same
오버,over
상황에서,In the situation
편히,comfortably
말해도,Even if I say it
좋겠네,That would be nice
때문이다,Because
파트너,partner
존재하지,Doesn't exist
감시,watch
공,ball
돕는,helping
것이오,That's it
클리어,clear
위,stomach
누구시죠,Who are you
앞으로도,In the future too
올리버,oliver
홀로,alone
신이시여,Oh God
그래서요,So
왜그래,what's the matter
덕에,Thanks to you
상대가,The opponent
그쵸,Right
아시겠죠,You know.
위험,danger
나라면,If it were me
인턴,Intern
그럴거야,It will happen
거였어요,It was
서둘러요,Hurry up
님,sir
병,party
점이,point
치료제를,a cure
시작하면,When you start
누군가의,someone's
못할거야,You won't be able to do it
긴급,emergency
아무나,anyone
자기를,Self
리디아,lydia
정부가,the government
그러니깐,So
싱크,sink
말이예요,I mean
작업을,The work
아니라고요,No
마이,my
기술을,technology
느끼고,feel
출발,depart
나간,went out
들어서,I heard it
젠장할,Damn it
꽃,flower
동물,animal
과장님이,The manager
묻고,ask
짧은,short
가슴에,in the chest
도시에,in the city
다르지,It's different
백,hundred
죽었다,dead
여자애,girl
구해,Save it
무서워요,scary
20분,20 minutes
딱히,Not really
코,nose
제이슨,jason
볼래,I want to see you
있냐,Is there one?
또다른,Other
드레스,dress
사이,between
하나야,It's one
사이가,saiga
남자친구,boy friend
부분은,The part is
남자와,with a man
않겠지,Probably not
운전,drive
선장님,Captain
늦은,late
거에,About
밤이,the night
삶에,in life
영원한,forever
좋아서,Because I like it
갔을,went
최대,maximum
쪽에,on the side
무섭네,It's scary
바다,ocean
앨런,alan
졸라,Ask me
오후에,Afternoon
애나,Anna
자네와,With you
될거에요,It will work
긴장,nervous
폭풍이,the storm
마저,Even
연락해,call
가슴을,breasts
빌어,pray
나가게,Let's go out
밤은,The night is
사건의,of the incident
주말에,On the weekend
하얀,White
한대,one
시체가,the body
참아,Hold on
스타크,stark
암,cancer
론,theory
본적이,Have you seen it?
테스트,test
아서,Arthur
통,container
집도,house too
뭐에,To what
약속할게,I'll promise
찍고,Take a picture
찍어,Take a picture
죽었을,dead
확,sudden
나라,country
배울,learn
위해선,For the sake of
많아서,There are a lot
시애틀,Seattle
너에,To you
윌리엄,william
어떨까요,What about
해줄게,I'll do it
영광입니다,It is an honour
공연,show
자체가,itself
자신,Myself
하나씩,singly
상태를,status
장군님,General
읽을,read
꺼내,take it out
옆에서,from the side
흑인,black
사람이라고,It's a person
총은,The gun is
현장에,on the scene
잡아요,Catch it
다녀,Go
근처,around
빛을,light
테니까요,Because it will
꼴을,form
나오고,Come out
해군,Navy
종양이,tumor
이것을,this
따윈,Nothing like that
모르니까,Because I don't know
방이,The room
길로,By the way
않았는데,I didn't
바보야,you idiot
발견한,discovered
나오지,Come out
3일,3 days
메이,may
괴물,monster
하더군,They said
했소,I did it
말할게,I'll tell you
번호,number
마을에,in the village
베일리가,Bailey
온다고,It's coming
됐다고,It's done
넷,four
기다려야,wait
집어,Pick it up
강하게,strongly
당신들을,you
잘했어요,good job
했다면,If you did it
그렇다,Yes
알아낼,find out
그놈,That guy
여자친구,girl friend
지낼,stay
주인이,The owner
그렇소,exactly
완벽해,Perfect
않았다고,I said no
존재를,existence
모두의,everyone's
작업,work
그레이스,grace
주요,main
걔를,him
늦어서,late
날을,day
자기는,Self is
그녀도,She too
있었다는,there was
천만에요,you're welcome
조심하세요,be careful
사라져,Live
케프너,Kepner
죽였다고,I killed it
아무한테도,To no one
레이첼,Rachel
막아,Block it
의료,Medical treatment
마시오,don't drink
현명한,wise
이유야,That's why
내려와,Come down
없음,doesn't exist
잊을,forget
하려면,To
한동안,for a while
닫아,Close it
스캇,Scott
공식적으로,officially
여기를,here
걱정이,I'm worried
그러네,That's right
무고한,innocent
발견,discovery
할거에요,I will do it
노는,Playing
뚫고,Through
빅터,Victor
끝내주는,awesome
나하고,with me
그랬던,that was
봤잖아,You saw it
내릴,get off
다물어,Shut up
없거든요,Because there isn't one
같지만,Same but
나한테서,from me
나가지,Let's go out
대단히,very
느낌,feeling
병이,sick
양반,nobleman
수술실로,To the operating room
만났을,met
낯선,unfamiliar
않을까요,Wouldn't it be
울지,Don't cry
싫으면,If you don't like it
경고,warning
탐정,Detective
사진이,the picture
이라는,called
괜찮아질,It'll be okay
사악한,evil
그야,That's right
·,·
보렴,Look
믿어야,I have to believe it
애한테,To the child
사이의,between
않거든,Because I don't
기사,article
병원을,hospital
사소한,Minor
마침,Finish
어쨋든,anyways
여기도,Here too
안젤라,Angela
저녁을,dinner
왼쪽으로,to the left
위치,location
당장은,For now
겠어요,I guess
노력,effort
바지,pants
멋지다,awesome
아닙니까,Isn't it?
요원이,agent
세계에서,in the world
중인,in progress
다니엘,Daniel
보아하니,By the looks of it
계셔,stay
것이지,That's right
하는건,What I do
임무는,The mission is
의식을,consciousness
빵,bread
수만,tens of thousands
없어도,Even without it
정신과,psychiatry
질문은,The question is
얼마든지,However much
믿기,believe
들어간,went into
제말은,I mean
말일세,That's it
집중해,Concentrate
파리,fly
어떤가요,How about this
마무리,finish
놀랄,surprised
보이게,Make it visible
방향으로,direction
경기,game
예뻐,Pretty
특별,Special
뭐하러,What are you doing
테고,tego
도와줄게,I'll help you
말자,Let's not
북쪽,North
주변,around
메시지,message
만들어서,By making it
좋군,Good
제작,produce
피곤해,I'm tired
말해주세요,Tell me please
발견했어요,I found it
밋첼,Mitchell
공을,the ball
쉬는,rest
움직이는,moving
알겠니,Do you understand?
참을,endure
간호사,nurse
1번,no. 1
한다고요,They say they do it
구하러,To save
그리고는,And then
나아,better
소문이,rumor
웃고,laughing
아파트,apartment
헛소리,gibberish
악마,devil
살려줘,help me
한게,What I did
배는,The ship is
먹자,let's eat
코드,code
하지도,I don't even do it
인생에,in life
겁을,scared
15분,15 minutes
물건이,the thing is
올바른,proper
불구하고,Despite
하신,did
되었다,became
살았어,I lived
돌아가면,When I go back
노,paddle
콜,call
나가고,Go out
산소,Oxygen
가는거야,let's go
떨어지고,falling
땜에,Because of
뭐래,what
자유롭게,freely
안의,in
던져,throw
만들었지,I made it
냄새를,smell
등을,My back
아버지도,My father too
신호,signal
거기가,There
제인,Jane
좋겠는데,It would be nice
쟤는,He is
말아,Roll it up
쇼를,show
기회는,The opportunity is
할래요,I want to do it
켈리,Kelly
했었죠,I did it
집이야,Is it your house
에이프릴,April
말인가요,Do you mean
천만에,you're welcome
한번만,only once
노력하고,Trying hard
비켜요,Get out of the way
때론,Sometimes
가족의,family
그만하고,Stop it
너희들을,You guys
속이,inside
기사를,article
조금씩,gradually
꿈이야,It's a dream
의견을,Opinion
안하고,Not doing it
그랬잖아,You said that
브루스,bruce
무사히,safely
쓸데없는,unnecessary
이해합니다,I understand
주위를,around
해봤어,I tried it
잘못한,wrong
부디,please
로빈스,robins
해피,happy
숲,forest
렉시,Lexi
잊어버려,Forget it
매기,tying
뭐랄까,What can I say
벗고,off with
그랬으면,If so
강아지,puppy
말했다,said
먹어요,eat
주실래요,Would you please give it to me?
거군,That's it
빅,big
약이,The medicine
자리가,There is a seat
흔적이,no trace
판,board
싸움을,fight
그럴까,Is that so?
해야해,I have to do it
가방을,bag
우는,crying
빛이,light
조용,quiet
떠났어,left
하며,And
머리는,The head
대단해,amazing
울고,crying
여러분은,you guys are
죽음이,death
안드레,Andre
있잖니,You know
가족들이,family
충분하지,not enough
어디까지,how far
반응이,reaction
데서,from
대위,captain
역사상,in history
시작하는,starting
있다구,There is
테러,terror
느껴져,I feel it
땅,earth
있지요,Yes
변화를,change
단단히,firmly
어쩌죠,What should I do?
그리워,miss
돌아가지,Not going back
콜롬비아,Columbia
뇌가,brain
20년,20 years
캣니스,katniss
거리에,on the street
훈련,training
거라도,Even if it is
있겠네요,I guess there is
도와주고,Help me
있겠지만,There may be
군대가,the army
대통령이,the president
베니,Benny
결과는,result
제프,Jeff
입어,Put it on
되겠네,It will work
숨기고,hide it
아주머니,madam
주여,Lord
잡지,magazine
클럽,club
순간에,at the moment
일해,work
직업을,job
스타일즈,Stiles
맛,taste
끊어,hang up
아니고요,No
사용할,available
2분,2 minutes
니네,You guys
되었어,It's done
사업,business
깊게,deep
신고,Declaration
굉장한,amazing
내에,within
자신에게,to yourself
우리끼리,Among us
피할,avoid
믿음을,faith
멋져요,cool
뜻이에요,I mean
하나로,As one
어떠니,How are you?
거리,distance
아버님,father
찾았습니다,Found it
있음,has exist
지켜보고,watching
사과,apologize
남았어요,There's left
싫어해,I hate it
함부로,thoughtlessly
걸을,walk
거길,There
문은,The door is
말하는데,I'm telling you
시작합니다,Start
듯이,as if
않겠어요,I won't
만났어요,We met
저희를,us
주시겠어요,Could you please
재능이,talented
이후에,Since the
끝나지,It's over
그러자,OK
나갔어,went out
버린,abandoned
일어나요,wake up
회사에,The company
열이,fever
죄다,tighten
이들이,These are
결혼식에,at the wedding
비행,flight
정도의,degree
설명해,explain
사람이죠,It's a person
잡았어요,I got it
나치,Nazi
말하게,speak
변호사가,the lawyer
필요하다,need
게만,Geman
팀은,The team
모르잖아요,You don't know
포함해서,including
사무실,office
유감이야,I'm sorry
맡은,undertaken
환자에게,to the patient
죽음,death
들어가요,Come in
재미있는,funny
걱정하는,worried
프랭키,Frankie
살기,live
경험이,experience
어딘가,somewhere
자살,Suicide
잘하는,fast
저들을,them
라이온,lion
리무,Limu
아시다시피,As you know
이식,transplantation
그런데도,And yet
카드를,card
란,column
설명,explanation
평생을,For life
알렌,allen
여자들,girls
힘내,cheer up
순간이,The moment
가운데,middle
거랑,Georang
없겠죠,Probably not
부인을,wife
사이먼,Simon
옛날에,Long ago
꺼야,Turn it off
조사,inspection
유감이에요,I'm sorry
죽여야,I have to kill
손은,The hands are
정지,stop
장군,General
키가,Tall
하늘을,the sky
봐야지,I have to see it
안좋은,not good
부모가,parents
있는거죠,There is
겁에,scared
물어봐도,Even if you ask
가지마,don't go
그들도,They too
밑으로,down
스타,star
오렴,Come
달에,on the moon
거리가,the distance
아름다워,beautiful
살해,killing
싫다,hate
잡으러,To catch it
몰랐네,I didn't know
사무실로,to the office
얼레,reel
수잔,Susan
마법의,magical
화나게,angry
보셨어요,Did you see it?
메세지를,message
가끔씩,sometimes
지금의,now
증명할,prove
주의를,pay attention
구하려고,To save
누구의,Someone's
인터넷,Internet
이래요,Like this
죽음에,to death
때려,Hit it
놈아,You bastard
루이,louis
영혼이,the soul
필요한데,I need it
개는,The dog
이러한,Such
의미,meaning
피트,feet
받았습니다,received
자네한테,To you
들어보세요,listen
울,wool
인형,doll
리차드,richard
전에요,Before
좋을거야,It'll be good
장기,long time
모르겠군,I don't know
인간을,humans
맞서,against
다행이네요,thank god
살아서,alive
궁금한,curious
기회야,It's a chance
감당할,afford it
해결,solve
얘기한,talked about
버틸,hold on
지나면,After it passes
버렸어,I threw it away
방해해서,By interfering with
마시는,drinking
착하지,He's nice
장소,location
원한,resentment
뉴욕에,in new york
지옥에,to hell
걔네,They
다를,different
저지른,guilty
나지,Naji
시작하지,let's start
도착할,to arrive
하이,high
책이,book
같던데,It seemed the same
카레프,Karev
저쪽에,over there
가방에,in the bag
불법,illegal
그런가요,is that so
에드,ed
캐롤,carol
싶어하는,want to
비행기가,the plane
위험이,danger
학교를,school
바라,look
가능해,Is it possible
지금이야,It's now
어디죠,Where is it
올라가서,go up
자식을,children
실험,Experiment
실험을,experiment
추적,Tracking
유전자,gene
치는,striking
기억나요,Do you remember
호텔에,to the hotel
부른,called
그러지마,do not do that
예쁘다,pretty
미안하구나,I'm sorry
서로에게,to each other
없었을,There wouldn't have been
떠나면,If you leave
기다리세요,Wait
무조건,must
왕을,the king
찬,cold
할지도,Might do it
자길,sleep
전원,everyone
안고,holding
전화할게,I'll call you
이런거,like this
일이나,Work or something
죽어요,I'm dying
않는데,I don't
언제까지,until when
퀸,queen
흔적을,traces
따위,et cetera
막고,stop it
어둠,darkness
바빠,busy
싸우지,fight
않았던,didn't
분을,minute
가지는,eggplant
애들도,Kids too
말씀해,tell me
저쪽으로,over there
파일을,file
가자구,Let's go
옷이,clothes
아빠의,Dad's
리코야,It's Rico
이래서,This is why
알면서,knowingly
멋진데,It's cool
저희도,We too
빼,Take it out
몰랐는데,I didn't know
역,station
제군들,Gentlemen
뉴스,news
정말로요,Really
사격,shooting
하는데요,I do it
고기,meat
떠,float
틀린,wrong
말하는거야,I'm talking
밴드,band
먹을래,Want some
바라지,I hope
이안,Ian
귀,ear
들어본,heard of
인터뷰,interview
잡은,caught
있기를,I hope there is
들었습니다,I heard
갔었어,I went
기분을,feel
남아서,behind
커,big
사고로,by accident
도시의,urban
달고,sweet
해주면,If you do it
누구인지,who is
괜찮다면,If you do not mind
의한,by
씨의,of seed
생각하는지,Do you think
비밀이,the secret
반지,ring
휴대폰,cell phone
당신들의,your
선수,player
하겠다고,I will do it
사람처럼,like a person
멍청이,idiot
않다는,That's not
때때로,sometimes
당신은요,how about you
살아야,I have to live
아니겠죠,Probably not
트럭을,truck
물러나,step back
그분이,He is
가스,gas
가져온,brought
쪽은,The side is
구하는,Seeking
생각만,Just thinking
말예요,I mean
이따가,later
모양이야,It's the shape
반가웠어요,It was nice to meet you
큰일,big deal
지가,he
하는거지,Doing it
떠났어요,I left
도망가,run away
피자,pizza
싶었는데,I thought
여자도,Women too
걔한테,To him
번호를,number
모르겠군요,I don't know
이상해요,Weird
휴가,vacation
미셸,Michelle
올라,Up
행동,action
여자한테,To a woman
두번,twice
되,become
일입니다,It's work
있길,I hope there is
의원님,Rep.
끝내,Finished
낸시,Nancy
무어,moore
이메일,email
그러게요,"Iknow, right"
키스를,kiss
있을겁니다,There will be
무엇이든,Anything
사적인,private
겪고,going through
책은,The book is
사이에서,between
주신,given
전쟁에서,in war
점,dot
그것들을,them
마약을,drugs
통신,communication
무엇입니까,What is
문제도,Problem too
잊어,forget
급한,urgent
말라,dry
셔츠,shirt
넘는,over
풀,grass
진짜요,Really
인사,greeting
라디오,radio
사촌,cousin
멕시코,Mexico
모건,morgan
괜찮네,It's okay
이쪽이야,It's this way
여태,So far
미국에,to America
놀라게,surprised
죽이면,If you kill
없던,There was no
거겠죠,I guess it is
남자들이,men
규칙,rule
형사,detective
펄스,pulse
다요,Everything
워싱턴,Washington
주변을,around
근무,work
주실,Please give it to me
상을,award
자네들,You-all
잘했다,Good job
아유,Wow
가야겠다,I have to go
않으니까,Because I don't
미사일,missile
년이,bitch
영상,video
현실을,reality
빨리요,Quickly
포기,give up
중인데,I'm in the middle of it
담당,in charge
이는,this is
트럭에,in the truck
원하는지,do you want
이전,before
방송,broadcast
화장실에,in the bathroom
저쪽,there
내버려둬,Leave it alone
사라졌어요,It's gone
곳이죠,It's a place
뇌를,brain
어리석은,Foolish
없인,without
부르고,calling
무기가,the weapon
온통,all
표정,expression
보여줄게,I'll show
포드,ford
조금은,any
술에,in alcohol
보이죠,You can see it
고맙구나,Thank you
없구나,There isn't any
명령,Command
이겼어,I won
전혀요,Not at all
다친,injured
두는,put
겪은,experienced
말하려고,To say
다예요,That's it
재밌어,fun
웃는,smiling
한마디,one word
작고,small and
옷은,The clothes are
못합니다,I can't
불렀어,I called you
해보고,Try it
확인할,identify
유령,Ghost
발로,expression
싶어서요,Because I want to
누구보다,More than anyone else
그렇진,Not so
구하기,exoneration
결정할,decide
날에,on the day
때면,Sometimes
늦었어요,late
끝나는,finished
누구냐,Who are you?
싸워,fight
지금껏,Until now
변하지,It doesn't change
예요,Yes
거리에서,in the street
모르는데,I don't know
맡고,In charge
이혼,divorce
내보내,Take it out
자세한,Detailed
유리,glass
손대지,Don't touch it
싫은,loath
덤벼,Come on
악마의,devil's
분위기,atmosphere
꼴,form
전부야,It's everything
조그만,small
실례,excuse
답이,the answer
끝내고,finished
생활을,life
하늘에,in the sky
기억하고,remember
선택할,choose
얼음,ice
눈치,sense
싶네,I want to
이상하지,It's strange
이런걸,Something like this
나나,Nana
메러디스가,meredith
화난,angry
도착하면,When you arrive
싫지만,I don't like it but
발이,feet
해주는,Hae-joo
고대,ancient
클레어가,Claire
배우고,learn
누구예요,Who are you
있어야지,There should be
구했어,I saved it
부동산,real estate
오른쪽으로,to the right
블루,blue
돌아가신,passed away
못해서,Because I couldn’t do it
고양이가,the cat
멋지네,That's cool
됐을,It's okay
적의,enemy
멋지게,ripping
첫째,first
신경도,nerves too
죽었고,died and
그만큼,that much
군요,Okay
꿈은,The dream is
기억해요,I remember
말입니까,What do you mean?
무릎을,kneel down
올해,this year
사람입니다,It's a person
고든,gordon
희망이,hope
관해서,Regarding
오빠는,brother is
요즘은,Nowadays
말았어야,I shouldn't have
때나,Sometimes
남지,Namji
한시간,one hour
일이라고,It's work
했었어요,I did it
캠프,camp
거고요,That's it
죽여라,kill it
이번이,This time
오늘밤에,tonight
영웅,hero
세계의,of the world
주제에,on the subject
있는지도,I wonder if it exists
연기,performance
병을,bottle
있었소,There was
번은,The number is
타요,Tayo
비행기에,on the plane
뭘로,With what
노래가,song
살라고,To live
보트,boat
용기를,courage
나갔어요,I went out
프란시스,francis
최선의,best
날은,The day is
때로는,sometimes
보통은,normally
트래비스,travis
일해요,I work
맡을,take charge
어울리는,matching
멋지지,It's cool
못한다면,If you can't
데려온,brought
확신이,I'm not sure
아니거든요,No.
살아있어,Alive
되었어요,It's done
애도,mourning
잘한다,Well done
죽어도,Even if I die
최소,Ieast
보내줘,Send it to me
그딴,Like that
이라,Ira
시계,clock
같죠,It's the same
웃음,laugh
수를,number
않을겁니다,I won't
꼴이,It looks like
댄스,dance
실수,mistake
위성,satellite
이들을,These
회사에서,at work
남았습니다,left
내려가,Go down
소녀,girl
다행이네,I'm glad
방은,The room is
대해서도,About
같소,Same
종양을,tumor
더요,More
댄,dan
아셨죠,Did you know?
가야겠어요,I have to go
그놈들이,Those guys
미쳤다고,I'm crazy
남자친구가,My boyfriend
일반적인,Normally
준다고,I will give it to you
짓도,Even if you do something
확률이,probability
목숨이,life
겁이,scared
들어왔어,I came in
문제지,Question paper
아마도요,Maybe
남는,remaining
반복한다,repeat
물론입니다,of course
중이다,is in progress
다양한,various
불리는,called
찾아요,Looking for it
많은데,There are a lot
왕은,The king
사람이지,It's a person
죽음은,death is
방향,direction
내부,interior
진실은,The truth is
나한테는,To me
싶었던,wanted
인마,men and horses
으로,by
약물,drug
누구에게,to whom
얼굴은,The face is
곳이지,It's a place
통화,call
살려,Save me
낸,paid
로라,Laura
알았는데요,I thought
자비를,Have mercy
생각하는데,I think
아니라구요,No
알아봐,Find out
데로,Dero
직업이,the job is
멜,mel
에밀리,Emily
맞네,That's right
농담이야,I'm kidding
이유도,The reason too
써야,I have to write
수천,thousands
그곳에서,There
호,like
동생은,My younger brother
증거,evidence
그렇긴,That's right
여기다,It's here
지내는,staying
갇혀,trapped
집안,house management
요리,cooking
있을게요,I'll be there
손가락을,finger
다리에,on the leg
이전에,Before
남자야,It's a man
신성한,sacred
있었거든요,There was
죽일거야,I'm going to kill you
상태는,The status is
들리나,Can you hear me?
총알,bullet
벌어진,wide open
아니네요,Nope
선생님의,teacher's
있었거든,There was
고통이,the pain
똑똑하고,smart and
들었죠,I heard it
동료,colleague
반은,half of it
너보다,than you
싶군요,I think so
마셔요,drink
뭘까,What is it
공원,park
교회,church
감사,thanks
로비,lobby
적당한,Proper
거네요,That's it
보네요,I see it
모른다는,don't know
사고를,accident
인,person
슈퍼걸,supergirl
밀어,push
국가,nation
신부,priest
희생자의,victim's
늑대,A wolf
둔,dun
모자를,hat
대학에,to college
사탕,candy
위치로,to location
하워드,howard
구멍이,There is a hole
바꾸고,change it
슬슬,slowly
조차,even
갈래요,I want to go
전해줘,Please tell me
좋겠군,That would be nice
아닌지,or not
만나지,Let's meet
하루를,a day
들어오면,When you come in
가족에게,To my family
기억할,to remember
목적이,purpose
죽겠어,I'm dying
신선한,fresh
써서,write
했니,Did you do it?
기뻐요,happy
리즈,Leeds
부탁합니다,please
들었다,heard
진작,Long ago
망쳤어,I ruined it
왔군,You came
드리겠습니다,I'll give it to you
인도,India
매니가,Manny
라이언,Ryan
듣게,listen
기록이,the record
영어,english
걷고,walking
주님,Lord
자전거,bicycle
패트릭,patrick
뱀이,snake
보내지,send it
기도를,pray
종이,paper
카메라를,camera
관계,relationship
잃었어요,I lost it
목숨,life
하셨잖아요,You did it
잘할,do well
지나,pass
않다면,If not
마실래,I want to drink
킴,Kim
없었다고,There wasn't any
친,friend
않겠지만,Probably not
안전할,be safe
당신처럼,Like you
비상,emergency
않겠다고,I won't
가문의,family
일과,daily lesson
돌아오는,coming back
말이요,I mean
알았으면,I wish I knew
조용한,quiet
한글자막,Korean subtitles
과거에,In the past
전화로,by phone
당연한,natural
미안하다고,I'm sorry
리무야,Limuya
나고,Nago
과학,science
보이나,Can you see it?
바짝,Closely
한단다,I do it
양쪽,both side
있다는걸,That there is
미래에,The future
넘겨,Pass it over
감사드립니다,Thank you
양은,German silver
바꾸는,alterative
식사를,Meals
점을,dot
봤나,Did you see it?
있을거라,There will be
아빠야,Dad
때에,When
총알을,bullet
주무세요,Good night
말하지만,I'm telling you
차이가,The difference
치료할,to treat
없다구요,There is no
건강한,healthy
사람에,to people
거울,mirror
걸리지,It doesn't work
왔네요,You're here
결정,decision
조언을,advice
의미를,meaning
나왔습니다,came out
루크가,Luke
떨어졌어,fell
안해도,Even if you don't do it
받아들일,accept
아니니,No
눌러,press
여왕,Queen
틀림없어,It's definitely true
않았잖아,You didn't
회의,meeting
올림픽,Olympic
뭐라구,What?
잃지,lose
있으라고,stay
여러분을,everyone
내린,got off
알았네,Okay
그때는,then
되겠네요,I guess it will work
웃어,Smile
않았다는,That said
캠이,Cam
대령,colonel
거는,hanging
옆으로,sideways
걱정마세요,Do not worry
마음의,of heart
태워,burn it
하는거죠,I'm doing it
회사가,the company
영,zero
외계인,alien
보군,I see
미래의,The future's
옮겨,Move it
소설,novel
나더러,to me
엄마에게,to mom
